idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
8854;POLLI CRISTIAN;Agip Eni;Strada Statale;POLLI CRISTIAN ;Statale 13 Pontebbana, Km. 138, dir. sud 33010;REANA DEL ROJALE;UD;46.1397737286519;13.2216918468475
13865;TIEMME SERVICE S.A.S. DI TRIBOS DANIELE SEBASTIANO & C.;Pompe Bianche;Altro;Tiemme Service sas;VIA SAN MARCO 2 33010;REANA DEL ROJALE;UD;46.1581193349298;13.2436470687389
5077;BIEFFE DI POLICELLA ROBERTO & C. SNC;San Marco Petroli;Strada Statale;smp sanmarcopetroli;Statale 54 del Friuli, Km. 5, dir. udine 33047;REMANZACCO;UD;46.0787337093121;13.3011415600777
35999;GATTESCO LUCA;Esso;Altro;STAZIONE DI SERVIZIO ESSO;STRADA PROVINCIALE 96  100 33047;REMANZACCO;UD;46.0608306739237;13.3111341297627
20244;MORETTI GIOVANNI;Esso;Strada Statale;esso;Statale 13 Pontebbana, Km. 177+228, dir. udine 33010;RESIUTTA;UD;46.3950121730116;13.2153041660786
13270;POCHERO  ROBERTO;Api-Ip;Altro;IP;VIA DELLA REPUBBLICA 80 33020;RIGOLATO;UD;46.5490623264922;12.8542788388016
12383;D'ANGELO IVAN;Agip Eni;Altro;distributore carburanti di d'angelo ivan;via fagagna   33030;RIVE D'ARCANO;UD;46.1117492421317;13.0310270190239
35819;SINGH MANJIT;Api-Ip;Altro;SINGH MANJIT - Rive;VIA CARNIA 87 33030;RIVE D'ARCANO;UD;46.1210661698607;13.0008038878441
27651;DEGANO CESARE;Api-Ip;Altro;DEGANO CESARE;VIA CODROIPO 134 33061;RIVIGNANO TEOR;UD;45.8902090681197;13.0347519368789
27995;DE PAOLI SILVIO & C. S.N.C.;Api-Ip;Altro;IP;VIA LIGNANO 22 33050;RONCHIS;UD;45.8114591851178;13.0053985118866
41984;DE PAOLI SILVIO & C. S.N.C.;Api-Ip;Altro;IP;VIA LIGNANO 22 33050;RONCHIS;UD;45.8114591851178;13.0053985118866
23352;SAN MARCO PETROLI DISTRIBUZIONE S.R.L.;San Marco Petroli;Altro;SMP RONCHIS;CORSO ITALIA 75 33050;RONCHIS;UD;45.7977988941618;12.9937094449997
15517;SINGH GURDIAL;Api-Ip;Altro;RUDA ;S.P. 8 Aquileiense km. 2+928 l.s.- Loc. San Nicolò - Via Jevada 20 33050;RUDA;UD;45.8279200789653;13.4012281894684
4238;BUTTAZZONI ALEARDO DI MOROSO PAOLO & C. S.A.S;Agip Eni;Strada Statale;EniCafè & Shop di MorosoP. & c. sas;Statale 463 del Tagliamento, Km. 17+262, dir. pordenone-tarvisio 33038;SAN DANIELE DEL FRIULI;UD;46.1486956956854;12.988908290863
44939;ANDREUTTI RICCARDO;Esso;Altro;Esso;Via Nazionale 12 33038;SAN DANIELE DEL FRIULI;UD;46.144147000123;12.978835000123
9834;FIORETTO MARIO;Esso;Strada Statale;fioretto mario;Statale 463 del Tagliamento, Km. 15+461, dir. san daniele-gemona;SAN DANIELE DEL FRIULI;UD;46.1606735994736;13.0033023655265
10193;ORNELLA MICHELE;Esso;Altro;Stazione di Servizio ESSO di Ornella Michele;Via Trento Trieste 85 33038;SAN DANIELE DEL FRIULI;UD;46.1525221563806;13.0087295448145
42415;CANTIERI MARINA SAN GIORGIO S.P.A.;Pompe Bianche;Altro;Cantieri Marina San Giorgio ;ZONA INDUSTRIALE AUSSA CORNO  33058;SAN GIORGIO DI NOGARO;UD;45.8028060120665;13.2276168465614
45246;GEFF S.R.L.;Agip Eni;Altro;ENI SAN GIORGIO DI NOGARO;via Terza Armata 47/G-H 33058;SAN GIORGIO DI NOGARO;UD;45.8343786230591;13.1939303874969
27646;YLLI SERVICE S.N.C. DI HASRAMAJ YLLI E C.;Esso;Altro;ESSO;VIALE TRIESTE 33/A 33058;SAN GIORGIO DI NOGARO;UD;45.8277051958082;13.2386222264282
